,publication,is_uni_newspaper,url,article_title,date,author,is_student
34,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/29/team-usa-women-taurasi-frustrated-age-questions/,"‘Bit disrespectful’: Diana Taurasi pushes back on questions about age, female stereotypes at Paris Olympics",2024-07-29,,
35,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/29/asu-celebrates-swimmer-ilya-khjaruns-participation-team-canada-paris/,Cirque du Hooray: ASU celebrates swimmer Ilya Khjarun’s participation with Team Canada in Paris,2024-07-29,,
36,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/28/one-for-all-campaign-hopes-to-unite-u-s-athletes-fans-during-unprecedented-time-of-division/,"‘One For All’ campaign hopes to unite U.S. athletes, fans during unprecedented time of division",2024-07-28,,
37,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/28/jade-carey-overcomes-illness-paris-olympics-moves-2nd-vault/,"Phoenix native Jade Carey overcomes illness at Paris Olympics, moves to 2nd in vault",2024-07-28,Tyler Bednar,1
38,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/27/ugly-american-gary-hall-finds-peace-olympics-media-diabetes-struggle/,"‘Ugly American’ Gary Hall Jr. finds peace after Olympics media scrutiny, diabetes struggle",2024-07-27,,
39,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/27/rain-cant-dampen-mood-as-fans-celebrate-inclusive-vibe-of-paris-olympics-opening-ceremony/,Rain can’t dampen mood as fans celebrate inclusive vibe of Paris Olympics’ opening ceremony,2024-07-27,,
40,zumedia,0,https://zunews.com/2024/05/tyler-howards-athletic-journey-at-apu/,Tyler Howard’s Athletic Journey at APU,2024-05-07,,
41,zumedia,0,https://zunews.com/2024/05/zu-magazine-vol-13-issue-1-so-what/,ZU Magazine: Vol. 13 Issue 1: “So What?”,2024-05-01,,
42,zumedia,0,https://zunews.com/2024/05/remembering-josh-millender-a-pillar-of-genuine-kindness/,Remembering Josh Millender: A pillar of “genuine kindness”,2024-05-01,,
43,zumedia,0,https://zunews.com/2024/04/issues-with-commuting-and-off-campus-housing/,Issues with Commuting and Off-Campus Housing,2024-04-25,,
